index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category
49,xiaomi,0,0,9.61580548,4.55,32,qled,1,16,0.012134142,4,0,0,1,0,0,0,1,0,1,0,2,big
50,acer,1,0,10.1266311,4.25,50,qled,1,19.2,0.009690388,4,0,0,1,4,1,2,3,1,3,1,1,big
51,tcl,0,1,9.679781343,4.75,32,qled,1,19.2,0.012179487,4,0,1,0,1,0,1,0,0,1,0,2,big
52,lg,1,0,11.51292546,4.75,75,led,1,22.4,0.003087531,3,0,0,1,1,1,2,1,2,3,1,2,big
53,blaupunkt,0,0,9.350102314,4.75,32,qled,1,16,0.014955515,4,0,0,1,0,0,0,3,0,0,0,1,medium
54,blaupunkt,0,1,9.680344001,4.65,40,qled,1,19.2,0.011625727,4,0,0,1,1,0,1,3,0,1,0,1,medium
55,lg,1,0,10.97678203,4.15,55,miniled,1,25.6,0.004185542,3,0,0,1,3,1,2,1,1,3,1,2,big
56,sony,1,0,11.7319887,4.6,65,led,1,32,0.002660455,4,0,1,0,2,1,2,1,2,4,1,2,big
57,vw,0,0,9.305650552,4.5,40,qled,0,16,0.010637331,3,1,0,0,0,0,0,1,1,0,0,2,big
58,sony,1,0,12.25909669,4.35,55,lcd,1,32,0.001567642,4,1,0,0,3,1,2,3,2,4,1,1,big
59,vw,0,0,9.121509158,4.45,32,qled,0,16,0.014464308,3,1,0,0,0,0,0,1,1,0,0,2,big
60,tcl,1,0,11.19809142,4.05,75,led,1,25.6,0.003440197,4,0,0,1,1,1,2,2,1,3,1,2,big
61,tcl,1,0,12.34579741,4.5,77,qled,1,32,0.001542252,3,0,0,1,1,1,2,1,2,4,0,2,big
62,hisense,1,0,11.51283546,4.15,75,miniled,1,38.4,0.00319582,4,0,0,1,1,1,2,1,2,4,1,2,big
63,tcl,1,0,11.37355994,4.45,75,qled,1,32,0.003990114,3,1,0,0,1,1,2,2,2,4,1,1,big
64,tcl,1,0,11.91839057,4.35,77,qled,1,32,0.002349016,3,0,0,1,1,1,2,1,2,4,0,2,big
65,samsung,1,0,12.34579741,4.35,77,micro,1,38.4,0.001542252,4,0,0,1,1,1,2,3,2,4,0,0,big
66,vw,0,0,9.121509158,4.65,32,led,1,16,0.014955515,4,0,0,1,0,0,0,1,0,0,0,2,big
67,samsung,1,0,11.32659589,4.2,55,oled,1,32,0.003643417,4,1,0,0,3,1,2,1,2,4,1,2,big
68,acerpure,1,0,10.59663473,4.2,65,qled,1,16,0.006825171,4,0,0,1,2,1,2,3,1,3,1,1,medium
69,samsung,1,0,10.69174035,4.75,55,qled,1,19.2,0.00593885,3,0,0,1,3,1,2,1,1,2,1,2,big
70,xiaomi,1,0,10.23995979,4.1,50,led,1,19.2,0.007760991,4,0,0,1,4,1,2,2,1,2,1,2,big
71,philips,1,0,10.20359214,4.1,43,qled,1,32,0.008959591,4,1,0,0,4,1,2,2,1,3,0,2,big
72,vu,1,0,10.18456033,4.4,43,qled,1,16,0.009966025,4,1,0,0,4,1,2,3,1,3,0,0,big
73,lg,1,0,11.57014665,4.75,55,oled,1,44.8,0.003588697,4,0,0,1,3,1,2,3,2,4,1,1,big
74,hisense,1,0,10.46310334,4.6,55,qled,1,28.8,0.008411669,4,0,0,1,3,1,2,2,1,3,1,2,big
75,tcl,1,0,10.91492481,4.35,55,miniled,1,19.2,0.005220949,3.4,0,1,0,3,1,2,1,2,3,1,2,big
76,tcl,1,0,10.37349118,4.45,43,qled,1,16,0.008065877,3,0,0,1,4,1,2,1,1,3,0,2,big
77,tcl,1,0,11.15612194,4.2,65,miniled,1,32,0.004320617,3,1,0,0,2,1,2,1,2,4,1,2,big
78,realme,1,0,10.16585182,4.5,55,qled,1,32,0.00969268,4,0,0,1,3,1,2,3,1,2,1,1,big
79,tcl,1,0,10.34145212,4.15,43,qled,1,16,0.007365279,4,0,0,1,4,1,2,2,1,2,0,2,big
80,xiaomi,1,0,10.64521059,4.2,55,qled,1,32,0.0063015,4,1,0,0,3,1,2,2,1,3,1,1,big
81,tcl,0,1,9.648014489,4.15,32,qled,1,19.2,0.010716591,3,1,0,0,1,0,1,1,0,1,0,2,big
82,lg,0,0,9.59499034,4.65,32,led,1,16,0.011712049,4,0,0,1,0,0,0,1,0,0,0,2,big
83,foxsky,1,0,9.546812609,4.15,43,qled,1,19.2,0.013933138,4,0,0,1,1,0,1,2,2,1,0,2,medium
84,xiaomi,0,0,9.305650552,4.7,32,led,1,16,0.014955515,4,0,0,1,0,0,0,1,2,0,0,2,big
85,tcl,1,0,10.77876877,4.35,55,qled,1,16,0.005438633,4,0,1,0,3,1,2,1,1,3,1,2,big
86,tcl,1,0,11.08200408,4.3,65,qled,1,16,0.004168334,4,0,1,0,2,1,2,1,1,3,1,2,big
87,samsung,1,0,12.00145026,4.25,65,micro,1,35.2,0.002007792,4,0,0,1,2,1,2,2,2,4,1,2,big
88,blaupunkt,0,1,9.76995616,4.7,43,qled,1,19.2,0.010206298,4,0,0,1,1,0,1,3,0,0,0,1,medium
89,sony,1,0,11.46153743,4.6,55,led,1,19.2,0.003292978,4,1,0,0,3,1,2,1,1,4,1,2,big
90,motorola,1,0,10.34174248,4.5,50,qled,1,32,0.00827446,4,0,0,1,4,1,2,3,1,3,1,1,big
91,motorola,1,0,11.1124479,4.15,75,miniled,1,44.8,0.004335886,4,0,0,1,1,1,2,1,1,4,1,2,big
92,samsung,1,0,11.28978191,4.3,65,miniled,1,22.4,0.003601295,3,0,0,1,2,1,2,2,1,4,1,2,big
93,samsung,1,0,11.16607355,4.6,55,miniled,1,22.4,0.004294808,3,0,1,0,3,1,2,1,2,3,1,2,big
94,lg,1,0,12.34579741,4,65,oled,1,44.8,0.001542252,4,0,1,0,2,1,2,3,2,4,1,1,big
95,samsung,1,0,10.35745707,4.35,32,led,1,22.4,0.007321372,3,1,0,0,4,1,2,2,1,2,0,2,big
96,vw,0,1,9.510444964,4.2,40,qled,1,19.2,0.012445366,3,1,0,0,1,0,1,1,1,1,0,2,big
97,lg,1,0,10.81977828,4.4,55,led,1,25.6,0.0050161,3,0,1,0,3,1,2,1,1,3,1,2,big
98,lg,1,0,11.23309251,4.4,55,miniled,1,32,0.004191031,4,0,1,0,3,1,2,1,2,4,1,2,big
99,lg,1,0,11.12136326,4.7,55,miniled,1,16,0.004727881,3,0,0,1,3,1,2,1,1,4,1,2,big
100,xiaomi,1,0,10.858999,4.4,55,miniled,1,32,0.005415489,3,1,0,0,3,1,2,2,1,3,1,1,big
101,vw,1,0,9.998797732,4.4,43,qled,1,32,0.010200464,4,1,0,0,4,1,2,3,1,2,0,1,big
102,iffalcon,1,0,10.81977828,4.45,55,qled,1,19.2,0.005607112,4,0,0,1,3,1,2,1,2,3,1,2,big
103,kenstar,0,0,9.121509158,4,32,qled,1,16,0.014955515,4,0,0,1,0,0,0,1,0,0,0,2,big
104,philips,1,0,10.73639668,4.7,55,miniled,1,32,0.006743625,4,1,0,0,3,1,2,3,1,3,1,1,big
105,vw,0,0,9.121509158,4.35,32,led,1,16,0.014955515,4,0,0,1,0,0,0,1,1,0,0,2,big
106,coocaa,1,0,10.40426284,4.6,55,miniled,1,32,0.008642686,4,1,0,0,3,1,2,3,1,3,1,1,medium
107,samsung,1,0,10.40399008,4.1,43,qled,1,19.2,0.006462564,3,0,0,1,4,1,2,1,1,2,0,2,big
108,innoq,0,0,9.121509158,4.6,32,led,0,16,0.014955515,3,0,0,1,0,0,0,2,0,0,0,2,small
109,vw,0,1,9.480367509,4.75,40,qled,1,19.2,0.014504924,4,0,0,1,1,0,1,1,2,1,0,2,big
110,vw,0,1,9.560997244,4.35,43,led,1,19.2,0.011335305,4,0,0,1,1,0,1,1,1,0,0,2,big
111,vw,0,0,9.121509158,4.7,32,led,1,16,0.014955515,4,1,0,0,0,0,0,1,1,0,0,2,big
112,vu,1,0,10.49102419,4.2,55,qled,1,16,0.007352042,4,1,0,0,3,1,2,3,1,3,1,0,big
113,xiaomi,0,0,9.472704636,4.6,32,led,1,16,0.012739441,4,1,0,0,0,0,0,1,2,0,0,2,big
114,blaupunkt,0,1,9.510444964,4.75,40,qled,1,19.2,0.014955515,4,1,0,0,1,0,1,3,0,1,0,1,medium
115,hisense,1,0,11.15625052,4.45,65,miniled,1,32,0.004640781,4,0,0,1,2,1,2,1,1,4,1,2,big
116,sony,1,0,10.736201,4.3,43,led,1,19.2,0.004955425,4,1,0,0,4,1,2,1,1,2,0,2,big
117,sony,1,0,11.03474449,4.45,55,led,1,16,0.004163575,4,1,0,0,3,1,2,1,1,3,1,2,big
118,tcl,1,0,10.71441777,4,55,qled,1,32,0.005511234,3,0,0,1,3,1,2,2,2,3,1,1,big
119,samsung,0,0,9.710570057,4.05,32,led,0,16,0.008350515,3,0,1,0,0,0,0,1,1,0,0,2,big
120,samsung,1,0,10.69174035,4.1,55,qled,1,25.6,0.005498977,3,1,0,0,3,1,2,1,1,3,1,2,big
121,tcl,0,1,10.12627104,4.55,43,qled,1,19.2,0.008193277,4,1,0,0,1,0,1,1,1,1,0,2,big
122,samsung,1,0,11.14186178,4.25,55,miniled,1,19.2,0.004065276,4,1,0,0,3,1,2,1,1,3,1,2,big
123,samsung,1,0,10.25734353,4.7,43,led,1,19.2,0.008743419,3,1,0,0,4,1,2,1,1,2,0,2,big
124,lg,1,0,10.1655056,4.75,43,led,1,19.2,0.008224317,4,0,1,0,4,1,2,1,1,1,0,2,big
